@relation R_data_frame-weka.filters.unsupervised.attribute.RandomProjection-N1-R42-DSparse1

@attribute K1 numeric
@attribute Class {1,2}

@data
1194.473506,1
1286.582062,1
1391.938902,1
1039.453919,2
1508.616253,1
1062.104294,2
1614.848645,1
1469.505507,1
1344.902811,1
1336.648377,1
850.783357,1
1151.528345,1
1177.253283,1
935.884902,1
1251.800404,1
1496.615739,1
1238.251436,1
1253.812354,1
726.091807,1
1209.061011,1
1302.82714,1
873.653702,1
1388.411927,1
800.504347,1
952.223857,1
1012.672257,1
796.105284,1
897.130092,2
1270.555396,1
1003.650004,1
1636.659668,1
852.567889,1
1007.80606,1
989.929044,2
1272.480051,1
926.693947,2
1440.649021,1
1419.816953,2
1037.086032,1
1133.418195,2
1185.502175,1
1299.038106,1
743.049796,1
1485.893306,1
795.343008,2
937.039487,1
758.291844,1
1891.537007,1
1346.09221,1
1037.119634,1
1210.703514,1
885.894971,1
1326.778631,1
1334.351504,1
693.13521,1
1061.499808,1
921.466791,1
1311.695413,1
1084.390418,1
1340.647682,1
787.687171,2
1221.853765,1
581.330984,1
866.383765,1
931.843334,1
1792.14968,1
1265.228474,1
1207.239413,2
1550.930428,1
1133.222993,1
1279.585963,1
715.362445,1
898.934369,1
834.789253,1
1574.771241,1
1048.459717,1
835.584611,1
1427.350162,1
1081.232717,1
1116.668917,2
1157.009939,1
1137.091355,1
739.585695,1
956.092046,1
1024.50199,1
867.411044,1
1022.404997,1
696.861717,1
1277.847503,1
976.106932,1
1376.691832,1
916.177281,1
2256.862202,1
1232.800326,2
1256.458581,1
1080.912634,1
1254.957413,1
1437.744198,1
742.967178,1
1159.484347,1
1508.904986,1
1035.818864,1
1143.952874,1
727.133635,1
496.941138,1
1225.689391,1
1174.330448,1
438.424668,1
897.130092,2
1473.109212,1
1325.855968,1
1467.313597,1
998.81585,1
1123.61981,1
1416.312495,1
1151.236494,1
1029.041869,1
956.70346,1
1216.537754,1
1012.463025,1
498.900954,1
587.627162,1
741.895038,1
1134.037403,1
690.65526,2
1666.75994,1
1000.564875,1
1148.926978,2
1157.257276,1
845.791933,1
1240.966253,1
1163.891377,1
1059.298545,1
770.570179,2
790.382588,1
969.602042,1
838.312591,1
1378.599513,1
727.639394,1
978.416102,1
1138.823406,1
1299.094917,1
1349.267579,1
1106.908811,1
1078.63464,1
824.154981,1
741.317746,1
1179.926184,1
1006.105013,1
969.794473,1
1586.440414,1
1596.950845,1
1233.715022,1
1217.294834,1
948.691339,1
1767.459122,1
1067.982528,1
1588.867883,1
770.132836,1
806.702664,1
1514.247151,1
562.755432,1
1044.31492,1
1291.763492,1
1264.39709,1
1452.270562,1
1243.937239,1
1088.265536,1
1329.44114,1
1416.363936,1
1491.391874,1
1224.717538,1
867.757455,1
1195.902448,1
1226.291972,1
821.201141,1
1029.111671,1
1507.694976,1
1268.053795,1
995.582804,1
1379.001002,1
826.967658,1
1070.133908,1
849.744126,1
1289.292029,1
966.323963,1
831.151254,1
1212.089155,1
460.199145,1
1039.576895,1
1152.470754,1
1103.749377,1
886.088268,1
1400.54425,1
1490.480815,1
1156.166084,1
541.961123,1
1209.704294,1
1130.139596,1
2148.609027,1
901.95316,1
1421.821109,1
1079.067653,1
646.933447,1
1387.190832,1
1529.7206,1
846.230488,1
955.51458,1
1117.663807,1
969.494828,1
1360.525909,1
377.78886,1
1029.721179,1
813.367076,2
849.570921,1
1376.500094,1
1294.483332,1
1241.462312,1
1240.364885,1
1141.583602,1
1189.918905,1
745.359313,1
1264.653087,1
988.654601,1
1107.300081,1
1338.671585,1
1716.971746,1
961.807813,1
1096.106183,1
1216.765692,1
987.26896,1
748.549058,1
604.109184,1
1400.435304,1
1237.903121,1
1257.363924,2
969.282305,1
804.028724,1
1627.694746,1
897.661831,1
1051.574811,1
806.2118,1
924.127914,1
929.721572,1
1342.014616,1
1292.802723,1
1163.860893,1
1215.12977,1
1422.013713,1
983.227566,1
876.665219,1
2147.396591,1
968.49301,1
816.950689,1
1056.291185,1
1389.175589,1
1253.101693,1
1060.832969,1
1086.94069,1
774.226711,1
1201.00403,1
910.318273,1
1082.195044,1
1286.91375,1
882.393284,1
1335.90602,1
785.918054,1
1324.441575,1
955.603607,1
894.145768,1
1214.231702,1
927.884386,1
1519.632097,1
984.471005,1
1043.528569,1
679.958287,1
889.937404,1
862.095034,1
1175.882538,1
999.393316,1
1382.882182,1
1102.326671,1
540.16897,1
1288.178494,1
1155.368995,1
1150.947762,1
1005.376685,1
927.56413,1
1093.853651,1
1227.529176,1
1163.067614,1
938.771538,1
1111.110593,1
1005.166934,1
1112.361653,2
973.721898,1
1203.932755,1
807.520538,1
1166.792389,1
773.911824,1
1030.797129,1
1254.809842,1
1476.573313,1
1371.966625,1
884.012059,1
1258.59853,1
970.406926,1
1515.544457,1
794.433855,1
1283.449648,1
1493.363121,1
611.650187,1
1090.268306,1
1108.512517,1
1060.448107,2
1199.314068,1
848.093655,1
800.446323,1
1068.30417,1
1192.516981,1
1131.029177,1
953.189821,1
807.135676,1
1827.313602,1
644.253618,2
1502.604998,1
529.023396,1
900.853828,1
1251.382806,1
1182.265665,1
1053.596287,1
819.797487,1
1250.25195,1
1050.850987,1
2194.854783,1
764.779067,1
1466.317841,1
1195.554998,1
1516.699042,1
549.286139,1
621.18911,1
1272.562323,1
898.587959,1
827.573876,1
1442.798323,1
