@relation R_data_frame-weka.filters.unsupervised.attribute.RandomProjection-N4-R42-DSparse1

@attribute K1 numeric
@attribute K2 numeric
@attribute K3 numeric
@attribute K4 numeric
@attribute Class {1,2}

@data
1194.473506,386.739233,222.915112,221.521331,1
1286.582062,428.922117,243.485814,241.974946,1
1391.938902,397.584469,234.003528,256.638834,1
1039.453919,339.761338,218.796295,234.411253,2
1508.616253,419.156295,229.123821,235.179937,1
1062.104294,359.855899,238.289661,217.085202,2
1614.848645,437.054096,234.826772,209.487908,1
1469.505507,422.732114,251.959353,237.850759,1
1344.902811,439.733059,266.607653,246.012183,1
1336.648377,382.288382,263.421892,243.53102,1
850.783357,381.051178,210.064334,210.698092,1
1151.528345,384.039485,217.208524,214.324833,1
1177.253283,416.882979,240.05185,178.660348,1
935.884902,410.863409,262.319268,211.599971,1
1251.800404,392.073256,197.457429,178.27029,1
1496.615739,423.651314,223.040166,190.271497,1
1238.251436,400.557361,232.489369,226.934856,1
1253.812354,447.831436,306.361336,194.254348,1
726.091807,321.879472,174.458393,227.860637,1
1209.061011,401.805996,228.299365,236.085453,1
1302.82714,422.72865,248.011143,214.825222,1
873.653702,354.112245,224.12062,229.625423,1
1388.411927,379.665537,209.544026,251.959353,1
800.504347,336.463167,164.866469,223.686048,1
952.223857,337.923113,195.009176,227.145646,1
1012.672257,377.587076,227.64465,207.521337,1
796.105284,324.075886,162.844299,220.762346,1
897.130092,371.633151,261.228769,202.56161,2
1270.555396,889.504392,782.685354,203.504019,1
1003.650004,443.727861,274.348534,225.109794,1
1636.659668,418.514744,225.650367,233.895102,1
852.567889,344.688676,216.161326,225.48461,1
1007.80606,364.253056,211.002586,234.19925,1
989.929044,361.813116,247.162957,231.330281,2
1272.480051,359.11181,171.037419,268.359622,1
926.693947,331.898347,230.367261,231.911557,2
1440.649021,411.485735,242.780349,209.941359,1
1419.816953,409.651147,285.976311,214.061908,2
1037.086032,372.555815,195.639988,250.447272,1
1133.418195,369.882394,259.88972,211.827042,2
1185.502175,343.476587,211.79829,229.453604,1
1299.038106,390.371343,228.46824,216.006308,1
743.049796,366.772324,191.748243,230.212589,1
1485.893306,417.919092,238.734625,206.443309,1
795.343008,345.967969,235.702497,210.63695,2
937.039487,341.214009,170.113197,186.965185,1
758.291844,337.749907,160.573061,140.512622,1
1891.537007,697.411643,641.50572,203.955911,1
1346.09221,381.339911,214.372811,190.898499,1
1037.119634,377.478823,208.155788,244.595712,1
1210.703514,413.960143,255.951903,249.633728,1
885.894971,400.855447,235.820276,218.633309,1
1326.778631,433.09584,248.165468,204.539612,1
1334.351504,390.343111,219.359039,221.081217,1
693.13521,329.247097,181.157272,174.997234,1
1061.499808,399.60889,199.870003,255.407346,1
921.466791,463.591193,337.049986,225.804346,1
1311.695413,419.556053,238.683529,177.731796,1
1084.390418,402.419662,256.799742,211.554764,1
1340.647682,379.238586,206.140893,230.248962,1
787.687171,350.468183,256.899681,212.692029,2
1221.853765,405.137423,218.196659,208.892082,1
581.330984,321.979065,157.368074,237.37306,1
866.383765,344.678111,183.222916,236.034011,1
931.843334,327.357603,174.640951,223.887139,1
1792.14968,435.463727,261.994855,215.714111,1
1265.228474,362.760721,215.535363,194.206197,1
1207.239413,409.60594,301.325052,203.77699,2
1550.930428,394.162629,238.296589,221.271223,1
1133.222993,411.535272,236.849461,266.488314,1
1279.585963,396.77283,234.656165,183.680697,1
715.362445,337.469662,182.517106,231.490669,1
898.934369,420.888346,224.361375,259.018845,1
834.789253,349.90977,200.587245,228.840804,1
1574.771241,433.426489,261.272417,223.920221,1
1048.459717,357.485241,219.146862,217.260139,1
835.584611,337.966414,179.064089,241.144427,1
1427.350162,436.726392,260.048896,220.646126,1
1081.232717,564.648563,514.126546,270.389412,1
1116.668917,384.546803,270.650086,214.345271,2
1157.009939,359.029364,211.73126,251.711842,1
1137.091355,363.73067,261.187892,215.802792,1
739.585695,329.700894,166.419945,255.006203,1
956.092046,370.08158,225.363539,171.41899,1
1024.50199,629.128658,495.955948,223.320066,1
867.411044,358.880927,177.858928,248.040588,1
1022.404997,352.348671,206.744166,206.332458,1
696.861717,341.214009,152.189935,150.025045,1
1277.847503,402.999552,219.047616,227.471965,1
976.106932,423.582724,251.911028,182.761844,1
1376.691832,394.330292,200.856233,200.39187,1
916.177281,352.197809,209.456904,214.398272,1
2256.862202,1060.015094,1156.481664,162.627273,1
1232.800326,364.098038,250.882017,232.957543,2
1256.458581,713.749213,607.573459,214.735156,1
1080.912634,402.513539,221.719477,198.916163,1
1254.957413,385.121497,249.795848,227.550253,1
1437.744198,407.599879,243.745275,232.144691,1
742.967178,403.9527,276.089245,225.163141,1
1159.484347,376.779594,244.393408,224.99288,1
1508.904986,399.309938,228.185743,210.474311,1
1035.818864,340.426792,187.350047,205.948808,1
1143.952874,415.425804,296.769932,226.424074,1
727.133635,332.819105,183.687972,228.764248,1
496.941138,296.054768,142.738307,214.806343,1
1225.689391,383.46098,209.750833,196.498393,1
1174.330448,393.322931,235.467284,208.455086,1
438.424668,311.586587,138.896618,227.297547,1
897.130092,371.633151,261.228769,202.56161,2
1473.109212,397.120799,229.95434,198.340948,1
1325.855968,491.989032,361.738811,217.988294,1
1467.313597,419.156295,230.916148,244.618921,1
998.81585,362.503858,213.441314,190.756818,1
1123.61981,350.523782,209.692636,210.716798,1
1416.312495,428.393842,245.686384,196.22317,1
1151.236494,434.231546,274.256043,196.363639,1
1029.041869,345.289351,194.874595,187.515285,1
956.70346,349.161005,183.867066,218.454908,1
1216.537754,414.962827,227.488592,175.098732,1
1012.463025,439.161829,272.296227,224.597973,1
498.900954,309.686008,145.289618,220.822795,1
587.627162,336.421944,178.173815,225.274685,1
741.895038,375.245517,223.793782,232.042154,1
1134.037403,371.251407,205.893729,202.65566,1
690.65526,320.378477,184.659133,228.363624,2
1666.75994,448.827019,237.406315,184.274098,1
1000.564875,401.122529,250.602637,237.357991,1
1148.926978,370.08158,250.938135,227.091779,2
1157.257276,370.658873,209.792922,229.0173,1
845.791933,343.890894,198.816743,232.69583,1
1240.966253,378.837963,203.722084,199.685193,1
1163.891377,447.664986,318.908312,231.234672,1
1059.298545,427.517944,251.000489,193.659735,1
770.570179,309.652233,166.608738,219.152925,2
790.382588,307.439018,171.415179,229.01782,1
969.602042,350.047468,209.814573,208.030214,1
838.312591,364.943105,197.07863,258.674687,1
1378.599513,419.909391,242.273205,227.799149,1
727.639394,328.675867,192.123925,229.118279,1
978.416102,571.851643,463.214818,216.082865,1
1138.823406,371.133801,214.202377,208.819509,1
1299.094917,385.310291,220.101049,212.155613,1
1349.267579,419.156295,258.941596,230.146251,1
1106.908811,336.081943,176.549844,225.707351,1
1078.63464,331.832009,184.282238,230.353751,1
824.154981,358.986409,206.95028,226.568354,1
741.317746,313.934209,205.809552,183.570366,1
1179.926184,430.629227,291.319861,226.001453,1
1006.105013,486.922783,401.948371,183.895125,1
969.794473,349.489401,180.627265,226.652531,1
1586.440414,402.938064,208.282054,201.014715,1
1596.950845,406.339119,234.175348,264.852219,1
1233.715022,361.998619,182.83026,280.978825,1
1217.294834,353.194085,243.141482,214.188867,1
948.691339,400.208699,272.894824,244.209291,1
1767.459122,724.613328,667.832892,218.447114,1
1067.982528,572.170687,422.944117,207.229314,1
1588.867883,424.801569,273.302722,214.592262,1
770.132836,346.882492,186.204468,221.876055,1
806.702664,354.637403,188.597643,246.045958,1
1514.247151,438.04379,226.190593,216.028305,1
562.755432,333.359332,166.951511,224.29036,1
1044.31492,355.740892,212.904032,217.229136,1
1291.763492,375.855025,211.443393,226.494395,1
1264.39709,355.843603,202.363636,203.838478,1
1452.270562,398.858738,216.492841,182.403137,1
1243.937239,366.978265,194.040959,244.878036,1
1088.265536,399.745375,259.598909,243.215094,1
1329.44114,419.524876,229.699728,223.331497,1
1416.363936,389.793877,222.60317,200.811373,1
1491.391874,426.084499,236.721289,211.58265,1
