@relation 'R_data_frame_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.75-A5-M-1'

@attribute -0.645V2-0.63V3-0.295V5-0.278V4+0.149V1 numeric
@attribute '-0.772V1+0.45 V4-0.281V3+0.271V5-0.221V2' numeric
@attribute 0.608V1+0.546V5+0.523V4-0.197V3-0.142V2 numeric
@attribute Class {1,2}

@data
0.064136,0.275192,0.444215,1
-0.133146,-0.618765,0.680033,1
-0.04669,-0.605123,1.731287,1
0.858227,-0.733869,-0.210488,2
-0.3029,0.099004,1.073548,1
0.372286,-0.008126,-0.30046,2
-0.772968,1.1751,0.754343,1
-0.537326,0.114129,1.457967,1
-0.473603,-0.553221,1.189669,1
-0.48488,0.255607,2.269042,1
0.678323,-0.270379,-1.150372,1
0.122168,0.444352,0.149163,1
-0.333714,1.330079,-1.168773,1
0.034987,-0.215345,-0.797927,1
0.0661,1.482667,-1.222913,1
-0.409427,1.302341,-0.601418,1
-0.057419,0.071305,0.566514,1
-1.022648,0.947197,-0.282614,1
1.28185,-0.509498,-0.266597,1
0.003175,-0.195282,0.885875,1
-0.402263,0.460814,0.274004,1
0.414511,-0.093722,0.726984,1
0.390835,-0.724852,0.997101,1
1.285876,-0.48649,-0.655015,1
0.823392,-0.183828,0.135938,1
-0.020772,0.800053,0.36205,1
1.287588,-0.249057,-0.515472,1
0.225697,0.150908,-0.970987,2
-7.279417,0.11759,1.80788,1
0.006533,-1.021313,-1.022454,1
-0.279676,0.126908,0.873382,1
0.534857,0.008434,0.526816,1
0.461693,-0.246732,0.685168,1
0.316377,-0.357275,0.396739,2
1.000496,-1.388269,1.138057,1
0.872995,-0.742927,-0.30036,2
-0.581567,1.063779,0.741011,1
-0.53429,0.373607,0.05407,2
0.909126,-1.282459,0.16746,1
0.061851,0.240059,-0.27443,2
0.314399,0.334151,1.08685,1
-0.184222,0.698412,0.648792,1
1.125191,-1.054835,-0.877497,1
-0.550386,1.056998,0.388562,1
0.810356,-0.387271,-1.289052,2
0.989,0.700467,-1.771223,1
0.890616,2.079727,-3.13364,1
-4.917163,0.103745,0.245824,1
-0.04845,1.305948,-0.521584,1
0.582,-0.810113,0.56219,1
0.120545,-1.190781,0.40865,1
0.403041,-0.542215,-0.851894,1
-0.497418,0.722542,-0.133506,1
-0.066196,0.49525,0.650738,1
0.882644,1.177528,-1.687302,1
0.83496,-1.648112,-0.004069,1
-0.47755,-1.228551,-0.966754,1
-0.373809,1.391167,-1.271465,1
-0.174296,0.300074,-0.081836,1
0.178328,0.173137,0.777162,1
0.686646,-0.541205,-1.28892,2
0.069257,0.381563,-0.437798,1
1.785778,-1.354548,-0.870766,1
1.109349,-0.795267,-0.133374,1
1.087323,-0.177127,-0.207493,1
-1.149906,1.341842,1.496513,1
-0.084524,1.511582,0.161341,1
-0.415531,0.227754,-0.802994,2
-0.547997,1.009444,1.436907,1
0.352799,-1.68571,0.959994,1
-0.46923,1.750665,-0.172217,1
1.248171,-0.820988,-0.431913,1
0.560129,-1.807554,0.32071,1
0.843293,-0.458936,-0.040875,1
-0.884101,0.759985,1.373156,1
0.252716,0.462353,0.477636,1
1.254158,-1.020019,-0.097631,1
-0.613551,0.360305,0.542443,1
-2.081423,-2.937363,0.526848,1
-0.01767,0.009444,-0.377375,2
0.534585,-0.720901,1.173146,1
-0.533675,1.226568,1.782848,1
1.630804,-1.703793,-0.101471,1
-0.030384,1.743599,-0.995316,1
-2.630215,-1.498917,-0.783274,1
1.174494,-1.277706,0.042469,1
0.419187,0.641035,-0.162847,1
1.060968,1.646576,-3.055546,1
0.100704,-0.075369,0.269905,1
-0.162752,0.736534,-1.608103,1
0.026571,0.976588,-0.35123,1
0.504198,0.294546,0.023274,1
-11.257388,0.977159,0.685538,1
0.07686,-0.081928,0.797697,2
-4.192184,-1.084653,-0.398129,1
0.214561,0.356132,-1.177988,1
-0.356548,0.536213,1.449578,1
-0.417656,0.325386,1.314235,1
0.244893,-0.946133,-0.71171,1
-0.253409,0.594576,1.39146,1
-0.46243,1.172014,0.826668,1
