@relation R_data_frame

@attribute V1 numeric
@attribute V2 numeric
@attribute V3 numeric
@attribute V4 numeric
@attribute V5 numeric
@attribute Class {1,2}

@data
127.8954,223.284,101.7531,587.8765,26.947,1
139.7043,247.6383,119.617,623.1915,20.9596,1
148.1705,229.5455,107.3636,696.2727,27.7384,1
135.3374,196.1613,112.7742,487.3548,13.5479,2
135.7812,242,110,761,22.2847,1
125.3342,207.7629,116.7423,496.4639,20.8343,2
120.9479,252.3333,109.9583,822.375,25.619,1
137.3232,244.0645,114.8065,733.6129,30.6623,1
142.0352,253.88,126.12,650.36,27.806,1
140.6027,220.7143,105.5714,666.1429,46.5153,1
121.6466,220,106.6222,384.5778,14.6585,1
123.7405,221.7253,99.3187,565.5165,26.0867,1
103.1496,240.6875,117.875,561.8125,20.719,1
122.1673,237.2121,129.8182,410.5152,21.6319,1
102.9244,226.3636,99.9091,622.8182,14.093,1
109.8533,244.5952,115.1429,748.9286,13.6294,1
131.0209,231.2619,108.1429,606.7619,26.0849,1
112.1528,258.5556,145.3333,578.5556,31.5445,1
131.5554,185.8372,77.9535,341.2558,22.7701,1
136.304,231.9828,103.5862,594.4655,28.2225,1
124.0294,244.0625,117.3438,634.8438,25.8455,1
132.5743,204.4468,91.0851,413.3191,38.311,1
145.4688,219.2,105.8,695.8,15.1803,1
129.1452,194.2571,80.0857,382.0857,15.1,1
131.1426,195.1,88.3667,461.4,24.2219,1
119.8125,218,93.3333,491.3333,38.0974,1
127.4572,187.1053,75.4211,384.2105,18.5971,1
116.949,214.5625,127.75,390.2083,23.0705,2
117.4931,513.5556,347.4444,386.1111,104.4392,1
129.9672,256.1864,147.5678,431.8898,10.8274,1
135.0394,241.6296,115.4444,829.4815,14.8349,1
130.1836,199.0061,88.1212,404.1091,36.6796,1
135.215,210.3016,91.4603,490.3968,30.3621,1
133.5586,208.8929,113.1429,458.3929,29.5567,2
154.9375,207.3333,87.6667,647,11.0818,1
133.8942,191.6216,115.5135,419.5135,17.4891,2
121.2097,237.5714,109.1918,722.5673,30.9775,1
123.5887,236.5122,144.4878,675.2439,20.6207,2
144.5958,215.0952,100.8095,497.9524,12.1433,1
122.2984,213.5517,127.1207,527.2586,22.9267,2
132.4751,198.3063,89.15,595.3,33.1318,1
124.7113,225.381,101.9524,648.0476,29.9538,1
132.9133,211.7561,98.0732,330.9268,12.6327,1
119.1901,241.2857,113.0476,744.8333,24.7859,1
121.6113,199.7447,121.0638,338.1277,15.0191,2
107.9444,197,90,451,8.2149,1
81.125,195,81.8,356,10.9069,1
117.754,402.6508,327.8413,764.2381,42.5322,1
110.2153,220.1667,105.5,671.6667,18.2682,1
141.2174,217.9375,97.5625,501.2188,22.6163,1
144.1261,239,132,567,15.7739,1
126.228,231.434,118.9434,392.5283,17.2075,1
118.091,250.048,120.416,645.6,22.8624,1
127.6413,225.3647,100.7529,669.6353,25.8941,1
101.0347,190.0909,80.8182,319.3636,23.773,1
147.4595,230.7143,108.4286,504.4286,6.9664,1
130.3682,267.6545,175.7909,356.2182,18.805,1
102.6135,242.2308,123,634.3077,14.804,1
122.1412,232.3371,119.6742,506.3989,28.5892,1
132.9343,218.9535,96.4186,677.6047,22.5969,1
122.7978,202.3429,132.4857,322.2857,15.8354,2
120.6039,233.9062,109.4688,595.9688,16.5071,1
137.0474,185.8947,79.1974,256.4342,11.6591,1
136.2743,199,88.0345,412.1724,17.7493,1
129.2613,189,82,456,18.829,1
124.5426,251.4151,119.7547,914.9434,31.5081,1
112.125,209.44,93.4,637.08,31.0394,1
117.6507,236.4861,155.4583,541.5417,18.5118,2
127.751,227.5699,104.0215,791.4086,33.5591,1
153.8571,237.6,117.7333,536.5333,19.0118,1
106.0481,229.0769,103.9231,634.8462,31.5557,1
133.6512,194.8382,85.8971,327.1176,19.4792,1
149.5446,243,111,408,18.5351,1
132.1213,202.0205,90.8562,391.1096,24.9529,1
129.2804,250.2389,118.0088,791.1858,32.8369,1
125.4352,206.3942,93.0584,512.2701,33.4661,1
139.2248,195.125,86.725,395.7,16.6577,1
127.3901,252.1441,125.3423,698.7387,24.797,1
156.1094,326,263.75,360.5,33.0811,1
123.7523,222.0182,134.6727,510.0364,21.5872,2
145.3259,207.2857,96.4286,571.5714,25.8145,1
124.5938,210,94,562.5,56.7969,1
147.2279,190.3529,83.5882,343.4118,12.4944,1
98.9688,213.6667,97.6667,454.3333,32.447,1
128.9339,363.2276,252.5034,338.9931,33.8369,1
143.2063,207.2,87.4,413.4,15.2869,1
119.1261,203.4286,92.1429,498.1429,27.2209,1
86.617,197,78.3333,324,9.5336,1
131.331,232.6719,107.9531,629.8125,18.5141,1
105.5176,244.5556,126.5556,437,18.8853,1
115.6963,227.6667,100.6667,694.1667,15.2977,1
123.7829,203.3415,90.3902,438.565,30.5398,1
93.8929,612,569,734,98.695,1
134.4981,210.2121,116.9091,594.8485,27.9377,2
123.9774,412.0833,304.8889,420.5278,45.8938,1
114.8443,232.3913,114.9565,509.1087,13.0533,1
131.3762,222.35,102.8,621.75,41.4197,1
134.0288,235.3279,109.7869,720.2951,30.9395,1
129.998,233.2222,135.2063,293.746,24.1939,1
129.8997,217.5338,96.8647,572.5639,44.2359,1
121.5174,230.5417,103.0417,768.125,28.7014,1
118.9046,196.5455,81.6061,516.4242,26.5605,1
130.726,239.8462,131.0769,529.3846,40.2633,1
132.0771,192.1532,81.5676,338.2432,24.4847,1
124.0185,170.9273,69.0727,217.8364,13.3373,1
113.4484,221.3913,101.5217,606.1304,19.578,1
120.3516,227.0851,109.5319,568.4681,26.4152,1
131.2303,179.8946,73.9553,179.1693,6.2367,1
116.949,214.5625,127.75,390.2083,23.0705,2
114.5122,229.2778,107.3333,743.1667,25.4309,1
125.8556,284.05,185.35,580.1333,23.5,1
141.2308,242,107.3077,739.8462,26.0118,1
110.1335,209.2917,103.4583,473.2083,19.7721,1
121.6574,202.375,90.6944,558.0278,30.3717,1
113.2895,247.3333,110.2917,707.4167,31.5554,1
113.3706,250.7037,132.2593,532.4074,26.0825,1
108.262,199.3529,89.3529,504.7647,23.158,1
126.125,201.5882,88.4706,463.8824,17.6851,1
101.0933,239.5789,117.8421,584.5263,13.4985,1
129.6717,253.5502,146.1135,438.4323,11.0968,1
127.4921,178.7973,72.6757,215.3649,11.2073,1
130.0624,194.2333,87.2,252.0667,15.6687,1
133.9696,216.6481,104.5926,323.7407,24.6148,1
117.0033,214.3421,94.5263,560.2105,24.3465,1
131.8458,184.9706,91.4265,307.3235,15.1865,2
106.3907,259.1304,119.7826,842.5217,17.284,1
137.0387,231.5882,114.8627,462.8137,29.8228,1
131.1115,213.6667,125.4444,537.8889,19.4348,2
132.2232,214,97.8571,570.2857,23.2669,1
134.347,198.5455,86.2727,402.0455,28.5142,1
115.2883,218.7222,95.6389,620.8333,21.9801,1
133.5034,258.4595,157.3514,514.6216,26.7704,1
111.8095,246.8276,131.8966,479.6897,13.0186,1
126.528,178.7778,85.1111,359.7778,11.0805,2
132.2235,177.5,78.569,377.7586,20.3976,1
120.1063,202.1,94.8,465,26.3365,1
149.3459,210.7,98.4,385.6,15.3834,1
131.5199,242.4348,113.7609,682.1739,26.1156,1
132.2815,189.7611,83.9222,336.1806,27.0006,1
124.7555,330.1587,239.8571,325.0317,27.5801,1
120.562,214.2742,97.3548,560.1452,26.315,1
122.4881,222.459,99.6066,650.4262,27.4688,1
132.875,242,104,675,45.5,1
130.3122,194.037,84.4815,554.5926,17.4496,1
132.9948,191.5833,85.0833,537.6667,21.3121,1
130.8093,207.2609,92.6522,383.1739,26.8306,1
105.9844,181.25,76.75,351.25,42.0742,1
130.482,248.6239,127.0769,554.1538,41.1167,1
106.1719,281.125,208.125,372.75,23.94,1
130.8579,201.7778,88.0667,471.8444,16.2185,1
116.0559,232.6364,106.1591,809.7727,14.0926,1
152.9125,234.6,100.8,821.2,34.4012,1
162.2232,209,89.8571,622.4286,15.7,1
