@relation car-evaluation_ICA-weka.filters.unsupervised.attribute.IndependentComponents-W-A7-N200-T1.0E-4

@attribute Source_0 numeric
@attribute Source_1 numeric
@attribute Source_2 numeric
@attribute Source_3 numeric
@attribute Source_4 numeric
@attribute Source_5 numeric
@attribute Class {1,2,3,4}

@data
-0.074795,0.002254,0.044829,0.013391,-0.02516,0.033125,1
-0.000122,-0.026379,0.058417,-0.004654,-0.016298,0.007129,2
-0.016252,0.003807,0.045794,0.029474,0.035147,0.004008,1
0.009614,0.010156,0.030151,0.053319,-0.025147,-0.006668,2
-0.038408,-0.005432,0.070372,-0.040229,-0.021511,-0.020959,1
0.008614,-0.004283,0.020125,0.045196,-0.038694,0.013246,2
-0.040778,0.000747,0.064738,0.064625,-0.037205,-0.01683,1
0.002833,-0.037783,0.028217,0.003577,0.003402,0.009501,1
-0.012234,-0.013648,0.032965,-0.045829,-0.012405,-0.004735,1
-0.03049,-0.007271,0.040098,-0.01009,-0.040404,0.012642,2
-0.009222,-0.029481,0.060619,-0.031329,-0.028002,-0.014125,1
0.009363,0.011186,0.102193,0.004936,-0.013049,-0.016731,2
-0.043066,0.030784,0.068759,-0.000184,-0.059461,-0.035555,2
-0.076568,0.0186,0.103101,0.001697,-0.014262,0.018407,1
-0.100787,0.000974,0.100281,0.007403,-0.017215,0.02447,1
-0.035578,-0.011767,0.079981,-0.014142,-0.054158,-0.037919,2
-0.019541,0.019406,0.039788,-0.043458,-0.000658,0.005198,1
-0.02234,-0.015128,0.07565,0.017299,0.007845,-0.026638,1
-0.029131,0.039413,0.098715,-0.01784,-0.021904,0.026197,1
-0.050086,0.004925,0.051507,0.050749,-0.052552,0.032932,2
-0.023163,0.012176,0.096168,0.00489,-0.017801,0.019179,2
-0.014037,0.017495,0.091354,0.030353,-0.019504,-0.038153,2
0.013596,0.049631,0.022361,-0.010902,-0.003051,0.012822,1
0.012777,0.025696,0.030379,-0.030613,0.000452,0.040306,1
-0.020567,-0.031473,0.017378,0.028993,-0.003053,-0.01192,1
-0.053098,0.020757,0.023853,0.03625,-0.036955,0.042323,1
-0.032169,0.018804,0.058677,0.048235,0.004845,-0.001445,1
-0.027515,0.033827,0.07279,0.015491,0.013646,0.031484,1
