@relation R_data_frame_ICA-weka.filters.unsupervised.attribute.IndependentComponents-W-A6-N200-T1.0E-4

@attribute Source_0 numeric
@attribute Source_1 numeric
@attribute Source_2 numeric
@attribute Source_3 numeric
@attribute Source_4 numeric
@attribute Class {1,2}

@data
-1.518231,-0.811804,-0.251444,0.163209,-0.615449,1
-1.181218,-0.624285,-0.19646,0.128738,-0.492909,1
-1.567361,-0.817511,-0.258595,0.161041,-0.648388,1
-0.758475,-0.397813,-0.128388,0.050814,-0.298754,2
-1.262804,-0.658854,-0.199254,0.139518,-0.519094,1
-1.168635,-0.627087,-0.193294,0.10239,-0.462123,2
-1.453093,-0.768445,-0.222247,0.170973,-0.588694,1
-1.732841,-0.91353,-0.279734,0.186091,-0.711359,1
-1.567337,-0.829638,-0.25922,0.167293,-0.651593,1
-2.623273,-1.391799,-0.433603,0.267942,-1.068407,1
-0.816774,-0.453184,-0.146002,0.088452,-0.329239,1
-1.468966,-0.789576,-0.243694,0.160497,-0.593055,1
-1.164665,-0.642045,-0.183912,0.133636,-0.458245,1
-1.208459,-0.663988,-0.206919,0.122301,-0.489202,1
-0.795956,-0.43649,-0.119421,0.098119,-0.305001,1
-0.774187,-0.413154,-0.107883,0.093238,-0.301801,1
-1.469993,-0.783694,-0.242846,0.157971,-0.599598,1
-1.772538,-0.964484,-0.284013,0.184653,-0.711474,1
-1.274258,-0.691013,-0.230992,0.131295,-0.515339,1
-1.590263,-0.846805,-0.267076,0.174098,-0.654432,1
-1.456849,-0.78114,-0.235644,0.160474,-0.5918,1
-2.151277,-1.160613,-0.372175,0.22507,-0.875024,1
-0.860414,-0.435732,-0.138223,0.080608,-0.35485,1
-0.844012,-0.459254,-0.155791,0.09148,-0.341254,1
-1.360419,-0.729163,-0.234907,0.136488,-0.547742,1
-2.142371,-1.160762,-0.361333,0.235525,-0.8657,1
-1.041406,-0.565149,-0.187959,0.110627,-0.417932,1
-1.288698,-0.70658,-0.216929,0.11505,-0.507905,2
-5.849736,-3.220499,-0.974787,0.646355,-2.440508,1
-0.599581,-0.332265,-0.105258,0.056325,-0.251165,1
-0.84593,-0.428363,-0.122657,0.089619,-0.345421,1
-2.059258,-1.112184,-0.356454,0.214341,-0.834407,1
