@relation 'R_data_frame-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.InfoGainAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 1'

@attribute V3 numeric
@attribute Class {1,2}

@data
101.7531,1
119.617,1
107.3636,1
112.7742,2
110,1
116.7423,2
109.9583,1
114.8065,1
126.12,1
105.5714,1
106.6222,1
99.3187,1
117.875,1
129.8182,1
99.9091,1
115.1429,1
108.1429,1
145.3333,1
77.9535,1
103.5862,1
117.3438,1
91.0851,1
105.8,1
80.0857,1
88.3667,1
93.3333,1
75.4211,1
127.75,2
347.4444,1
147.5678,1
115.4444,1
88.1212,1
91.4603,1
113.1429,2
87.6667,1
115.5135,2
109.1918,1
144.4878,2
100.8095,1
127.1207,2
89.15,1
101.9524,1
98.0732,1
113.0476,1
121.0638,2
90,1
81.8,1
327.8413,1
105.5,1
97.5625,1
132,1
118.9434,1
120.416,1
100.7529,1
80.8182,1
108.4286,1
175.7909,1
123,1
119.6742,1
96.4186,1
132.4857,2
109.4688,1
79.1974,1
88.0345,1
82,1
119.7547,1
93.4,1
155.4583,2
104.0215,1
117.7333,1
103.9231,1
85.8971,1
111,1
90.8562,1
118.0088,1
93.0584,1
86.725,1
125.3423,1
263.75,1
134.6727,2
96.4286,1
94,1
83.5882,1
97.6667,1
252.5034,1
87.4,1
92.1429,1
78.3333,1
107.9531,1
126.5556,1
100.6667,1
90.3902,1
569,1
116.9091,2
304.8889,1
114.9565,1
102.8,1
109.7869,1
135.2063,1
96.8647,1
103.0417,1
81.6061,1
131.0769,1
81.5676,1
69.0727,1
101.5217,1
109.5319,1
73.9553,1
127.75,2
107.3333,1
185.35,1
107.3077,1
103.4583,1
90.6944,1
110.2917,1
132.2593,1
89.3529,1
88.4706,1
117.8421,1
146.1135,1
72.6757,1
87.2,1
104.5926,1
94.5263,1
91.4265,2
119.7826,1
114.8627,1
125.4444,2
97.8571,1
86.2727,1
95.6389,1
157.3514,1
131.8966,1
85.1111,2
78.569,1
94.8,1
98.4,1
113.7609,1
83.9222,1
239.8571,1
97.3548,1
99.6066,1
104,1
84.4815,1
85.0833,1
92.6522,1
76.75,1
127.0769,1
208.125,1
88.0667,1
106.1591,1
100.8,1
89.8571,1
98.3611,1
127.3636,1
348.6846,1
223.2857,1
119.0648,1
85.6883,1
90.625,1
116.7938,1
82.4419,1
94,1
97.4,1
89.8036,1
105.4688,1
96.25,1
119.4828,1
113.9645,1
100.7619,1
114.4444,1
94.5455,1
158,1
100.6364,1
90,1
121.7241,1
94.9737,1
134.0213,1
114.8056,1
85.8,1
102.3333,1
91.625,1
