@relation 'R_data_frame-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.InfoGainAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 2'

@attribute V3 numeric
@attribute V2 numeric
@attribute Class {1,2}

@data
101.7531,223.284,1
119.617,247.6383,1
107.3636,229.5455,1
112.7742,196.1613,2
110,242,1
116.7423,207.7629,2
109.9583,252.3333,1
114.8065,244.0645,1
126.12,253.88,1
105.5714,220.7143,1
106.6222,220,1
99.3187,221.7253,1
117.875,240.6875,1
129.8182,237.2121,1
99.9091,226.3636,1
115.1429,244.5952,1
108.1429,231.2619,1
145.3333,258.5556,1
77.9535,185.8372,1
103.5862,231.9828,1
117.3438,244.0625,1
91.0851,204.4468,1
105.8,219.2,1
80.0857,194.2571,1
88.3667,195.1,1
93.3333,218,1
75.4211,187.1053,1
127.75,214.5625,2
347.4444,513.5556,1
147.5678,256.1864,1
115.4444,241.6296,1
88.1212,199.0061,1
91.4603,210.3016,1
113.1429,208.8929,2
87.6667,207.3333,1
115.5135,191.6216,2
109.1918,237.5714,1
144.4878,236.5122,2
100.8095,215.0952,1
127.1207,213.5517,2
89.15,198.3063,1
101.9524,225.381,1
98.0732,211.7561,1
113.0476,241.2857,1
121.0638,199.7447,2
90,197,1
81.8,195,1
327.8413,402.6508,1
105.5,220.1667,1
97.5625,217.9375,1
132,239,1
118.9434,231.434,1
120.416,250.048,1
100.7529,225.3647,1
80.8182,190.0909,1
108.4286,230.7143,1
175.7909,267.6545,1
123,242.2308,1
119.6742,232.3371,1
96.4186,218.9535,1
132.4857,202.3429,2
109.4688,233.9062,1
79.1974,185.8947,1
88.0345,199,1
82,189,1
119.7547,251.4151,1
93.4,209.44,1
155.4583,236.4861,2
104.0215,227.5699,1
117.7333,237.6,1
103.9231,229.0769,1
85.8971,194.8382,1
111,243,1
90.8562,202.0205,1
118.0088,250.2389,1
93.0584,206.3942,1
86.725,195.125,1
125.3423,252.1441,1
263.75,326,1
134.6727,222.0182,2
96.4286,207.2857,1
94,210,1
83.5882,190.3529,1
97.6667,213.6667,1
252.5034,363.2276,1
87.4,207.2,1
92.1429,203.4286,1
78.3333,197,1
107.9531,232.6719,1
126.5556,244.5556,1
100.6667,227.6667,1
90.3902,203.3415,1
569,612,1
116.9091,210.2121,2
304.8889,412.0833,1
114.9565,232.3913,1
102.8,222.35,1
109.7869,235.3279,1
135.2063,233.2222,1
96.8647,217.5338,1
103.0417,230.5417,1
81.6061,196.5455,1
131.0769,239.8462,1
81.5676,192.1532,1
69.0727,170.9273,1
101.5217,221.3913,1
