@relation 'R_data_frame-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.InfoGainAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 4'

@attribute V3 numeric
@attribute V2 numeric
@attribute V4 numeric
@attribute V5 numeric
@attribute Class {1,2}

@data
101.7531,223.284,587.8765,26.947,1
119.617,247.6383,623.1915,20.9596,1
107.3636,229.5455,696.2727,27.7384,1
112.7742,196.1613,487.3548,13.5479,2
110,242,761,22.2847,1
116.7423,207.7629,496.4639,20.8343,2
109.9583,252.3333,822.375,25.619,1
114.8065,244.0645,733.6129,30.6623,1
126.12,253.88,650.36,27.806,1
105.5714,220.7143,666.1429,46.5153,1
106.6222,220,384.5778,14.6585,1
99.3187,221.7253,565.5165,26.0867,1
117.875,240.6875,561.8125,20.719,1
129.8182,237.2121,410.5152,21.6319,1
99.9091,226.3636,622.8182,14.093,1
115.1429,244.5952,748.9286,13.6294,1
108.1429,231.2619,606.7619,26.0849,1
145.3333,258.5556,578.5556,31.5445,1
77.9535,185.8372,341.2558,22.7701,1
103.5862,231.9828,594.4655,28.2225,1
117.3438,244.0625,634.8438,25.8455,1
91.0851,204.4468,413.3191,38.311,1
105.8,219.2,695.8,15.1803,1
80.0857,194.2571,382.0857,15.1,1
88.3667,195.1,461.4,24.2219,1
93.3333,218,491.3333,38.0974,1
75.4211,187.1053,384.2105,18.5971,1
127.75,214.5625,390.2083,23.0705,2
347.4444,513.5556,386.1111,104.4392,1
147.5678,256.1864,431.8898,10.8274,1
115.4444,241.6296,829.4815,14.8349,1
88.1212,199.0061,404.1091,36.6796,1
91.4603,210.3016,490.3968,30.3621,1
113.1429,208.8929,458.3929,29.5567,2
87.6667,207.3333,647,11.0818,1
115.5135,191.6216,419.5135,17.4891,2
109.1918,237.5714,722.5673,30.9775,1
144.4878,236.5122,675.2439,20.6207,2
100.8095,215.0952,497.9524,12.1433,1
127.1207,213.5517,527.2586,22.9267,2
89.15,198.3063,595.3,33.1318,1
101.9524,225.381,648.0476,29.9538,1
98.0732,211.7561,330.9268,12.6327,1
113.0476,241.2857,744.8333,24.7859,1
121.0638,199.7447,338.1277,15.0191,2
90,197,451,8.2149,1
81.8,195,356,10.9069,1
327.8413,402.6508,764.2381,42.5322,1
105.5,220.1667,671.6667,18.2682,1
97.5625,217.9375,501.2188,22.6163,1
132,239,567,15.7739,1
118.9434,231.434,392.5283,17.2075,1
120.416,250.048,645.6,22.8624,1
100.7529,225.3647,669.6353,25.8941,1
80.8182,190.0909,319.3636,23.773,1
108.4286,230.7143,504.4286,6.9664,1
175.7909,267.6545,356.2182,18.805,1
123,242.2308,634.3077,14.804,1
119.6742,232.3371,506.3989,28.5892,1
96.4186,218.9535,677.6047,22.5969,1
132.4857,202.3429,322.2857,15.8354,2
109.4688,233.9062,595.9688,16.5071,1
79.1974,185.8947,256.4342,11.6591,1
88.0345,199,412.1724,17.7493,1
82,189,456,18.829,1
119.7547,251.4151,914.9434,31.5081,1
93.4,209.44,637.08,31.0394,1
155.4583,236.4861,541.5417,18.5118,2
104.0215,227.5699,791.4086,33.5591,1
117.7333,237.6,536.5333,19.0118,1
103.9231,229.0769,634.8462,31.5557,1
85.8971,194.8382,327.1176,19.4792,1
111,243,408,18.5351,1
90.8562,202.0205,391.1096,24.9529,1
118.0088,250.2389,791.1858,32.8369,1
93.0584,206.3942,512.2701,33.4661,1
86.725,195.125,395.7,16.6577,1
125.3423,252.1441,698.7387,24.797,1
263.75,326,360.5,33.0811,1
134.6727,222.0182,510.0364,21.5872,2
96.4286,207.2857,571.5714,25.8145,1
94,210,562.5,56.7969,1
83.5882,190.3529,343.4118,12.4944,1
97.6667,213.6667,454.3333,32.447,1
252.5034,363.2276,338.9931,33.8369,1
87.4,207.2,413.4,15.2869,1
92.1429,203.4286,498.1429,27.2209,1
78.3333,197,324,9.5336,1
107.9531,232.6719,629.8125,18.5141,1
126.5556,244.5556,437,18.8853,1
100.6667,227.6667,694.1667,15.2977,1
90.3902,203.3415,438.565,30.5398,1
569,612,734,98.695,1
116.9091,210.2121,594.8485,27.9377,2
304.8889,412.0833,420.5278,45.8938,1
114.9565,232.3913,509.1087,13.0533,1
102.8,222.35,621.75,41.4197,1
109.7869,235.3279,720.2951,30.9395,1
135.2063,233.2222,293.746,24.1939,1
96.8647,217.5338,572.5639,44.2359,1
103.0417,230.5417,768.125,28.7014,1
81.6061,196.5455,516.4242,26.5605,1
131.0769,239.8462,529.3846,40.2633,1
81.5676,192.1532,338.2432,24.4847,1
69.0727,170.9273,217.8364,13.3373,1
101.5217,221.3913,606.1304,19.578,1
109.5319,227.0851,568.4681,26.4152,1
73.9553,179.8946,179.1693,6.2367,1
127.75,214.5625,390.2083,23.0705,2
107.3333,229.2778,743.1667,25.4309,1
