@relation R_data_frame-weka.filters.unsupervised.attribute.RandomProjection-N2-R42-DSparse1

@attribute K1 numeric
@attribute K2 numeric
@attribute Class {1,2}

@data
1194.473506,386.739233,1
1286.582062,428.922117,1
1391.938902,397.584469,1
1039.453919,339.761338,2
1508.616253,419.156295,1
1062.104294,359.855899,2
1614.848645,437.054096,1
1469.505507,422.732114,1
1344.902811,439.733059,1
1336.648377,382.288382,1
850.783357,381.051178,1
1151.528345,384.039485,1
1177.253283,416.882979,1
935.884902,410.863409,1
1251.800404,392.073256,1
1496.615739,423.651314,1
1238.251436,400.557361,1
1253.812354,447.831436,1
726.091807,321.879472,1
1209.061011,401.805996,1
1302.82714,422.72865,1
873.653702,354.112245,1
1388.411927,379.665537,1
800.504347,336.463167,1
952.223857,337.923113,1
1012.672257,377.587076,1
796.105284,324.075886,1
897.130092,371.633151,2
1270.555396,889.504392,1
1003.650004,443.727861,1
1636.659668,418.514744,1
852.567889,344.688676,1
1007.80606,364.253056,1
989.929044,361.813116,2
1272.480051,359.11181,1
926.693947,331.898347,2
1440.649021,411.485735,1
1419.816953,409.651147,2
1037.086032,372.555815,1
1133.418195,369.882394,2
1185.502175,343.476587,1
1299.038106,390.371343,1
743.049796,366.772324,1
1485.893306,417.919092,1
795.343008,345.967969,2
937.039487,341.214009,1
758.291844,337.749907,1
1891.537007,697.411643,1
1346.09221,381.339911,1
1037.119634,377.478823,1
1210.703514,413.960143,1
885.894971,400.855447,1
1326.778631,433.09584,1
1334.351504,390.343111,1
693.13521,329.247097,1
1061.499808,399.60889,1
921.466791,463.591193,1
1311.695413,419.556053,1
1084.390418,402.419662,1
1340.647682,379.238586,1
787.687171,350.468183,2
1221.853765,405.137423,1
581.330984,321.979065,1
866.383765,344.678111,1
931.843334,327.357603,1
1792.14968,435.463727,1
1265.228474,362.760721,1
1207.239413,409.60594,2
1550.930428,394.162629,1
1133.222993,411.535272,1
1279.585963,396.77283,1
715.362445,337.469662,1
898.934369,420.888346,1
834.789253,349.90977,1
1574.771241,433.426489,1
1048.459717,357.485241,1
835.584611,337.966414,1
1427.350162,436.726392,1
1081.232717,564.648563,1
1116.668917,384.546803,2
1157.009939,359.029364,1
1137.091355,363.73067,1
739.585695,329.700894,1
956.092046,370.08158,1
1024.50199,629.128658,1
867.411044,358.880927,1
1022.404997,352.348671,1
696.861717,341.214009,1
1277.847503,402.999552,1
976.106932,423.582724,1
1376.691832,394.330292,1
916.177281,352.197809,1
2256.862202,1060.015094,1
1232.800326,364.098038,2
1256.458581,713.749213,1
1080.912634,402.513539,1
1254.957413,385.121497,1
1437.744198,407.599879,1
742.967178,403.9527,1
1159.484347,376.779594,1
1508.904986,399.309938,1
1035.818864,340.426792,1
1143.952874,415.425804,1
727.133635,332.819105,1
496.941138,296.054768,1
1225.689391,383.46098,1
1174.330448,393.322931,1
438.424668,311.586587,1
897.130092,371.633151,2
1473.109212,397.120799,1
1325.855968,491.989032,1
1467.313597,419.156295,1
998.81585,362.503858,1
1123.61981,350.523782,1
1416.312495,428.393842,1
1151.236494,434.231546,1
1029.041869,345.289351,1
956.70346,349.161005,1
1216.537754,414.962827,1
1012.463025,439.161829,1
498.900954,309.686008,1
587.627162,336.421944,1
741.895038,375.245517,1
1134.037403,371.251407,1
690.65526,320.378477,2
1666.75994,448.827019,1
1000.564875,401.122529,1
1148.926978,370.08158,2
1157.257276,370.658873,1
845.791933,343.890894,1
1240.966253,378.837963,1
1163.891377,447.664986,1
1059.298545,427.517944,1
770.570179,309.652233,2
790.382588,307.439018,1
969.602042,350.047468,1
838.312591,364.943105,1
1378.599513,419.909391,1
727.639394,328.675867,1
978.416102,571.851643,1
1138.823406,371.133801,1
1299.094917,385.310291,1
1349.267579,419.156295,1
1106.908811,336.081943,1
1078.63464,331.832009,1
824.154981,358.986409,1
741.317746,313.934209,1
1179.926184,430.629227,1
1006.105013,486.922783,1
969.794473,349.489401,1
1586.440414,402.938064,1
1596.950845,406.339119,1
1233.715022,361.998619,1
1217.294834,353.194085,1
948.691339,400.208699,1
1767.459122,724.613328,1
1067.982528,572.170687,1
1588.867883,424.801569,1
770.132836,346.882492,1
806.702664,354.637403,1
1514.247151,438.04379,1
562.755432,333.359332,1
1044.31492,355.740892,1
1291.763492,375.855025,1
1264.39709,355.843603,1
1452.270562,398.858738,1
1243.937239,366.978265,1
1088.265536,399.745375,1
