@relation 'R_data_frame_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.95-A5-M-1'

@attribute -0.645V2-0.63V3-0.295V5-0.278V4+0.149V1 numeric
@attribute '-0.772V1+0.45 V4-0.281V3+0.271V5-0.221V2' numeric
@attribute 0.608V1+0.546V5+0.523V4-0.197V3-0.142V2 numeric
@attribute 0.736V5-0.663V4-0.107V1-0.08V2+0.006V3 numeric
@attribute Class {1,2}

@data
0.064136,0.275192,0.444215,-0.093028,1
-0.133146,-0.618765,0.680033,-0.777001,1
-0.04669,-0.605123,1.731287,-0.666857,1
0.858227,-0.733869,-0.210488,-0.610701,2
-0.3029,0.099004,1.073548,-1.232266,1
0.372286,-0.008126,-0.30046,-0.083881,2
-0.772968,1.1751,0.754343,-1.158376,1
-0.537326,0.114129,1.457967,-0.555725,1
-0.473603,-0.553221,1.189669,-0.4481,1
-0.48488,0.255607,2.269042,0.820894,1
0.678323,-0.270379,-1.150372,-0.020878,1
0.122168,0.444352,0.149163,-0.022494,1
-0.333714,1.330079,-1.168773,-0.233632,1
0.034987,-0.215345,-0.797927,0.323924,1
0.0661,1.482667,-1.222913,-0.928449,1
-0.409427,1.302341,-0.601418,-1.57149,1
-0.057419,0.071305,0.566514,-0.266665,1
-1.022648,0.947197,-0.282614,0.346485,1
1.28185,-0.509498,-0.266597,0.681305,1
0.003175,-0.195282,0.885875,-0.111268,1
-0.402263,0.460814,0.274004,-0.361805,1
0.414511,-0.093722,0.726984,1.412109,1
0.390835,-0.724852,0.997101,-1.492263,1
1.285876,-0.48649,-0.655015,-0.009409,1
0.823392,-0.183828,0.135938,0.264453,1
-0.020772,0.800053,0.36205,1.15161,1
1.287588,-0.249057,-0.515472,0.243736,1
0.225697,0.150908,-0.970987,0.578852,2
-7.279417,0.11759,1.80788,5.816361,1
0.006533,-1.021313,-1.022454,-0.592859,1
-0.279676,0.126908,0.873382,-2.02682,1
0.534857,0.008434,0.526816,1.364844,1
0.461693,-0.246732,0.685168,0.511576,1
0.316377,-0.357275,0.396739,0.608789,2
1.000496,-1.388269,1.138057,-1.628812,1
0.872995,-0.742927,-0.30036,-0.0353,2
-0.581567,1.063779,0.741011,-0.351189,1
-0.53429,0.373607,0.05407,-0.876026,2
0.909126,-1.282459,0.16746,-0.85088,1
0.061851,0.240059,-0.27443,-0.052964,2
0.314399,0.334151,1.08685,0.294158,1
-0.184222,0.698412,0.648792,-0.118827,1
1.125191,-1.054835,-0.877497,-0.012687,1
-0.550386,1.056998,0.388562,-0.858764,1
0.810356,-0.387271,-1.289052,0.227949,2
0.989,0.700467,-1.771223,-0.607617,1
0.890616,2.079727,-3.13364,0.195036,1
-4.917163,0.103745,0.245824,0.102627,1
-0.04845,1.305948,-0.521584,-0.898514,1
0.582,-0.810113,0.56219,-0.122881,1
0.120545,-1.190781,0.40865,-0.918035,1
0.403041,-0.542215,-0.851894,0.07047,1
-0.497418,0.722542,-0.133506,-0.572143,1
-0.066196,0.49525,0.650738,-0.512343,1
0.882644,1.177528,-1.687302,1.080858,1
0.83496,-1.648112,-0.004069,-1.275615,1
-0.47755,-1.228551,-0.966754,0.259996,1
-0.373809,1.391167,-1.271465,-0.943945,1
-0.174296,0.300074,-0.081836,0.400768,1
0.178328,0.173137,0.777162,-0.806813,1
0.686646,-0.541205,-1.28892,0.339351,2
0.069257,0.381563,-0.437798,-0.798585,1
1.785778,-1.354548,-0.870766,0.234294,1
1.109349,-0.795267,-0.133374,-0.017131,1
1.087323,-0.177127,-0.207493,-0.060649,1
-1.149906,1.341842,1.496513,-1.172897,1
