@relation 'R_data_frame_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R1.0-A5-M-1'

@attribute -0.645V2-0.63V3-0.295V5-0.278V4+0.149V1 numeric
@attribute '-0.772V1+0.45 V4-0.281V3+0.271V5-0.221V2' numeric
@attribute 0.608V1+0.546V5+0.523V4-0.197V3-0.142V2 numeric
@attribute 0.736V5-0.663V4-0.107V1-0.08V2+0.006V3 numeric
@attribute -0.713V2+0.696V3+0.083V4-0.009V5-0.004V1 numeric
@attribute Class {1,2}

@data
0.064136,0.275192,0.444215,-0.093028,-0.041471,1
-0.133146,-0.618765,0.680033,-0.777001,-0.095302,1
-0.04669,-0.605123,1.731287,-0.666857,0.001062,1
0.858227,-0.733869,-0.210488,-0.610701,0.343898,2
-0.3029,0.099004,1.073548,-1.232266,-0.06684,1
0.372286,-0.008126,-0.30046,-0.083881,0.259512,2
-0.772968,1.1751,0.754343,-1.158376,-0.149422,1
-0.537326,0.114129,1.457967,-0.555725,-0.058259,1
-0.473603,-0.553221,1.189669,-0.4481,-0.084862,1
-0.48488,0.255607,2.269042,0.820894,0.050888,1
0.678323,-0.270379,-1.150372,-0.020878,-0.044665,1
0.122168,0.444352,0.149163,-0.022494,-0.060989,1
-0.333714,1.330079,-1.168773,-0.233632,-0.05704,1
0.034987,-0.215345,-0.797927,0.323924,0.029436,1
0.0661,1.482667,-1.222913,-0.928449,-0.059415,1
-0.409427,1.302341,-0.601418,-1.57149,-0.028987,1
-0.057419,0.071305,0.566514,-0.266665,-0.049901,1
-1.022648,0.947197,-0.282614,0.346485,0.046661,1
1.28185,-0.509498,-0.266597,0.681305,-0.014655,1
0.003175,-0.195282,0.885875,-0.111268,-0.119214,1
-0.402263,0.460814,0.274004,-0.361805,-0.073536,1
0.414511,-0.093722,0.726984,1.412109,-0.052447,1
0.390835,-0.724852,0.997101,-1.492263,0.111444,1
1.285876,-0.48649,-0.655015,-0.009409,-0.056683,1
0.823392,-0.183828,0.135938,0.264453,0.060265,1
-0.020772,0.800053,0.36205,1.15161,-0.134435,1
1.287588,-0.249057,-0.515472,0.243736,-0.029806,1
0.225697,0.150908,-0.970987,0.578852,0.251148,2
-7.279417,0.11759,1.80788,5.816361,-0.722862,1
0.006533,-1.021313,-1.022454,-0.592859,0.03299,1
-0.279676,0.126908,0.873382,-2.02682,0.041264,1
0.534857,0.008434,0.526816,1.364844,-0.027126,1
0.461693,-0.246732,0.685168,0.511576,-0.067533,1
